name,square_meter,bedroom_no,price,street,area,district
Cho thuê căn hộ cao cấp vào ở được luôn!! Hot!Hot!, 28 m,1 phòng ngủ, 6 triệu / tháng,Phố Trần Thái Tông,Phường Dịch Vọng Hậu,Quận Cầu Giấy
"CHO NGƯỜI NƯỚC NGOÀI,VIỆT NAM THUÊ CĂN HỘ DỊCH VỤ CAO CẤP TẠI NGUYỄN KHÁNH TOÀN", 40 m,1 phòng ngủ, 7 triệu / tháng,Đường Nguyễn Khánh Toàn,Phường Quan Hoa,Quận Cầu Giấy
"BQL CHO THUÊ CH TẠI D'.LE PONT D'OR,TÂN HOÀNG MINH,36 HOÀNG CẦU GIÁ CHỈ TỪ 14TRIỆU/THÁNG.", 68 m,2 phòng ngủ, 14 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
Cho thuê căn hộ 2 phòng ngủ 84m2 tại GoldmarkCity 136 Hồ Tùng Mậu, 84 m,2 phòng ngủ, 14 triệu / tháng,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm
"CHO THUÊ CĂN HỘ CHUNG CƯ, CĂN HỘ DUPLEX KHU VỰC THỤY KHUÊ, QUẬN TÂY HỒ", 90 m,2 phòng ngủ, 16 triệu / tháng,Đường Thụy Khuê,Phường Thụy Khuê,Quận Tây Hồ
"CHUNG CƯ MINI 1 P. NGỦ, 1P.KHÁCH ĐẦY ĐỦ TIỆN NGHI ĐIỀU HÒA GIƯỜNG TỦ DT 40M2 PHỐ XÃ ĐÀN", 40 m,1 phòng ngủ, 6 triệu / tháng,Phố Xã Đàn,Phường Nam Đồng,Quận Đống Đa
"CHO THUÊ CHUNG CƯ MINI ĐẦY ĐỦ TIỆN ĐIỀU HÒA GIƯỜNG TỦ DT45M2  P.NGỦ,KHÁCH PHỐ TRƯỜNG CHINH", 40 m,1 phòng ngủ, 5 triệu / tháng,Đường Trường Chinh,Phường Ngã Tư Sở,Quận Đống Đa
CHO THUÊ CHUNG CƯ MINI GIÁ 5TR CÓ 1 PHÒNG NGỦ VÀ P.KHÁCH PHỐ DOÃN KẾ THIỆN-MAI DỊCH, 40 m,1 phòng ngủ, 5 triệu / tháng,Phố Doãn Kế Thiện,Phường Mai Dịch,Quận Cầu Giấy
"CHO THUÊ PHÒNG KHÉP KÍN ĐỦ TIỆN NGHI DT30M2 PHƯỜNG NHÂN CHÍNH GẦN NGÃ TƯ SỞ,ROYAL CITY", 30 m,1 phòng ngủ," 4,2 triệu / tháng",Đường Giáp Nhất,Phường Nhân Chính,Quận Thanh Xuân
"CHO THUÊ PHÒNG  ĐỦ ĐỒ DT 38M2 1 P.NGỦ, 1 P.KHÁCH  PHỐ DOÃN KẾ THIỆN", 40 m,1 phòng ngủ, 5 triệu / tháng,Phố Doãn Kế Thiện,Phường Mai Dịch,Quận Cầu Giấy
CHÍNH CHỦ CHO THUÊ CĂN HỘ 2 PHÒNG NGỦ+1P.KHÁCH SÀN GỖ ĐẦY ĐỦ ĐỒ SỐ 23 ĐÔNG CÁC., 65 m,2 phòng ngủ, 11 triệu / tháng,Phố Đông Các,Phường Ô Chợ Dừa,Quận Đống Đa
"CHO THUÊ CHUNG CƯ MINI P. NGỦ, P. KHÁCH DT 50M2 TẠI SỐ 118 ĐƯỜNG NGUYỄN ĐỔNG CHI", 40 m,1 phòng ngủ," 4,5 triệu / tháng",Đường Nguyễn Đổng Chi,Quận Nam Từ Liêm,
CHO THUÊ CĂN HỘ 1-2 PHÒNG NGỦ VÀ KHÁCH ĐỦ ĐỒ 50M2 NGÕ 204 PHỐ TRẦN DUY HƯNG, 30 m,1 phòng ngủ," 5,5 triệu / tháng",Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy
CHO THUÊ CHUNG CƯ MINI  ĐỦ ĐỒ  DT45M2 SỐ 95 MẶT PHỐ ĐÔNG CÁC-Ô CHỢ DỪA., 65 m,2 phòng ngủ, 11 triệu / tháng,Phố Đông Các,Phường Ô Chợ Dừa,Quận Đống Đa
CHÍNH CHỦ CHO THUÊ CĂN HỘ ĐẦY ĐỦ ĐỒ ĐIỀU HÒA   50M2 TỪ 1- 2 PHÒNG NGỦ NGÕ 169 PHỐ KIM MÃ, 50 m,1 phòng ngủ," 6,5 triệu / tháng",Đường Kim Mã,Phường Kim Mã,Quận Ba Đình
CHÍNH CHỦ CHO THUÊ CĂN HỘ 1 PHÒNG NGỦ VÀ KHÁCH ĐỦ ĐỒ DT45M2 PHỐ CẦU GIẤY GIÁ 7.5 TRIỆU, 45 m,1 phòng ngủ," 7,5 triệu / tháng",Đường Nguyễn Văn Huyên,Phường Quan Hoa,Quận Cầu Giấy
CHÍNH CHỦ CHUNG CƯ MINI DT35-45M2 1 PHÒNG NGỦ VÀ KHÁCH ĐỦ ĐỒ SÀN GỖ NGÕ 196 PHỐ CẦU GIẤY, 35 m,1 phòng ngủ," 4,5 triệu / tháng",Đường Cầu Giấy,Phường Quan Hoa,Quận Cầu Giấy
CHÍNH CHỦ CHO THUÊ CHUNG CƯ ĐẦY ĐỦ ĐIỀU HÒA GIƯỜNG TỦ DT35M2 NGÕ 165 PHỐ CHỢ  KHÂM THIÊN, 35 m,1 phòng ngủ, 5 triệu / tháng,Phố Chợ Khâm Thiên,Phường Trung Phụng,Quận Đống Đa
"CHO THUÊ CĂN HỘ 1 P.NGỦ,1 P. KHÁCH DT 45M2  ĐẦY ĐỦ ĐỒ 18 ĐÊ LA THÀNH GIÁ 7.5 TR", 45 m,1 phòng ngủ," 7,5 triệu / tháng",Đường Đê La Thành,Phường Phương Liên,Quận Đống Đa
Cho thuê chung cư CT2C Mễ Trì Hạ đối diện Keangnam 2PN đầy đủ đồ., 60 m,2 phòng ngủ, 9 triệu / tháng,Đường Phạm Hùng,Phường Mễ Trì,Quận Nam Từ Liêm
"Cho thuê chung cư 57 Vũ Trọng Phụng Vinaconex 12, 2PN đầy đủ nội thất đẹp, vào ở ngay.", 87 m,2 phòng ngủ, 10 triệu / tháng,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân
